---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.009000  	    9a	a	2  
 0.354000  	    10	0	0  
 34702.613000  	    9f	a	2  
 34703.080000  	    10	0	0  
 71993.266000  	    9f	a	2  
 71993.712000  	    10	0	0  
 73449.390000  	    9f	a	2  
 73449.803000  	    10	0	0  
 95206.486000  	    4a	a	2  
 95206.907000  	    0	0	0  
 100821.217000  	    9a	a	2  
 100821.626000  	    10	0	0  
 106195.816000  	    ba	9	2  
 106196.216000  	    30	0	0  
 107195.831000  	    10	0	0  
 121418.583000  	    4f	a	2  
 121419.138000  	    4a	a	2  
 121419.635000  	    0	0	0  
 124420.109000  	    ba	9	2  
 124420.679000  	    30	0	0  
 125421.165000  	    99	a	2  
 125421.721000  	    10	0	0  
 127422.214000  	    9a	6	2  
 127422.748000  	    0	0	0  
 127623.272000  	    ba	9	2  
 127623.819000  	    30	0	0  
 128624.286000  	    9a	a	2  
 128624.870000  	    10	0	0  
 128675.424000  	    ba	9	2  
 128675.968000  	    30	0	0  
 129676.411000  	    4f	a	2  
 129676.928000  	    4a	a	2  
 129677.400000  	    0	0	0  
 132677.808000  	    ba	9	2  
 132678.333000  	    30	0	0  
 133678.797000  	    99	a	2  
 133679.349000  	    10	0	0  
 135679.835000  	    9a	6	2  
 135680.344000  	    0	0	0  
 135880.818000  	    ba	9	2  
 135881.364000  	    30	0	0  
 136881.827000  	    9a	a	2  
 136882.424000  	    10	0	0  
 136932.975000  	    ba	9	2  
 136933.541000  	    30	0	0  
 137934.051000  	    4f	a	2  
 137934.624000  	    4a	a	2  
 137935.131000  	    0	0	0  
 140935.624000  	    ba	9	2  
 140936.174000  	    30	0	0  
 141936.616000  	    99	a	2  
 141937.111000  	    10	0	0  
 143937.558000  	    9a	6	2  
 143938.106000  	    0	0	0  
 144138.617000  	    ba	9	2  
 144139.230000  	    30	0	0  
 145139.743000  	    9a	a	2  
 145140.278000  	    10	0	0  
 145190.775000  	    ba	9	2  
 145191.291000  	    30	0	0  
 146191.761000  	    4f	a	2  
 146192.293000  	    4a	a	2  
 146192.794000  	    0	0	0  
 149193.299000  	    ba	9	2  
 149193.850000  	    30	0	0  
 150194.300000  	    99	a	2  
 150194.815000  	    10	0	0  
 152195.290000  	    9a	6	2  
 152195.799000  	    0	0	0  
 152396.304000  	    ba	9	2  
 152396.864000  	    30	0	0  
 153397.324000  	    9a	a	2  
 153397.822000  	    10	0	0  
 153448.283000  	    ba	9	2  
 153448.869000  	    30	0	0  
 154449.342000  	    4f	a	2  
 154449.872000  	    4a	a	2  
 154450.396000  	    0	0	0  
 157450.853000  	    ba	9	2  
 157451.440000  	    30	0	0  
 158451.932000  	    99	a	2  
 158452.483000  	    10	0	0  
 158796.918000  	    9a	a	2  
 158797.277000  	    10	0	0  
