---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.027000  	    ba	0	2  
 1.223000  	    10	0	0  
 32516.509000  	    8a	3	2  
 32517.883000  	    8a	2	2  
 32519.161000  	    0	0	0  
 35520.530000  	    7a	8	2  
 35521.820000  	    50	0	0  
 36523.636000  	    b9	0	2  
 36524.799000  	    10	0	0  
 38526.061000  	    7a	8	2  
 38527.281000  	    50	0	0  
 39529.413000  	    ba	0	2  
 39530.603000  	    10	0	0  
 39581.933000  	    7a	8	2  
 39583.165000  	    50	0	0  
 40585.590000  	    8a	3	2  
 40586.811000  	    8a	2	2  
 40588.003000  	    0	0	0  
 43589.259000  	    7a	8	2  
 43590.463000  	    50	0	0  
 44592.798000  	    b9	0	2  
 44594.050000  	    10	0	0  
 46595.350000  	    7a	8	2  
 46596.596000  	    50	0	0  
 47599.015000  	    ba	0	2  
 47600.208000  	    10	0	0  
 47651.569000  	    7a	8	2  
 47652.830000  	    50	0	0  
 48655.068000  	    8a	3	2  
 48656.307000  	    8a	2	2  
 48657.511000  	    0	0	0  
 51658.786000  	    7a	8	2  
 51660.072000  	    50	0	0  
 52662.520000  	    b9	0	2  
 52663.691000  	    10	0	0  
 54664.915000  	    7a	8	2  
 54666.118000  	    50	0	0  
 55668.374000  	    ba	0	2  
 55669.601000  	    10	0	0  
 55720.997000  	    7a	8	2  
 55722.253000  	    50	0	0  
 56724.747000  	    8a	3	2  
 56725.949000  	    8a	2	2  
 56727.126000  	    0	0	0  
 59728.419000  	    7a	8	2  
 59729.691000  	    50	0	0  
 60732.069000  	    b9	0	2  
 60733.257000  	    10	0	0  
 62734.502000  	    7a	8	2  
 62735.722000  	    50	0	0  
 63737.312000  	    ba	0	2  
 63738.428000  	    10	0	0  
 63789.656000  	    7a	8	2  
 63790.845000  	    50	0	0  
 64793.024000  	    8a	3	2  
 64794.201000  	    8a	2	2  
 64795.379000  	    0	0	0  
 67796.602000  	    7a	8	2  
 67797.825000  	    50	0	0  
 68800.049000  	    b9	0	2  
 68801.261000  	    10	0	0  
 70802.514000  	    7a	8	2  
 70803.714000  	    50	0	0  
 71805.832000  	    ba	0	2  
 71807.009000  	    10	0	0  
