---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.014000  	    9a	a	2  
 0.470000  	    10	0	0  
 14596.405000  	    4f	a	2  
 14596.943000  	    4a	a	2  
 14597.447000  	    0	0	0  
 17597.909000  	    ba	9	2  
 17598.450000  	    30	0	0  
 18599.244000  	    99	a	2  
 18599.811000  	    10	0	0  
 20600.333000  	    9a	6	2  
 20600.933000  	    0	0	0  
 20801.452000  	    ba	9	2  
 20801.996000  	    30	0	0  
 21802.458000  	    9a	a	2  
 21803.011000  	    10	0	0  
 21853.506000  	    ba	9	2  
 21854.085000  	    30	0	0  
 22854.572000  	    4f	a	2  
 22855.024000  	    4a	a	2  
 22855.461000  	    0	0	0  
 25855.918000  	    ba	9	2  
 25856.393000  	    30	0	0  
 26856.801000  	    99	a	2  
 26857.378000  	    10	0	0  
 28857.843000  	    9a	6	2  
 28858.368000  	    0	0	0  
 29058.828000  	    ba	9	2  
 29059.413000  	    30	0	0  
 30059.914000  	    9a	a	2  
 30060.452000  	    10	0	0  
 30110.942000  	    ba	9	2  
 30111.468000  	    30	0	0  
 31111.924000  	    4f	a	2  
 31112.427000  	    4a	a	2  
 31112.901000  	    0	0	0  
 34113.424000  	    ba	9	2  
 34113.979000  	    30	0	0  
 35114.422000  	    99	a	2  
 35114.932000  	    10	0	0  
 37115.351000  	    9a	6	2  
 37115.861000  	    0	0	0  
 37316.359000  	    ba	9	2  
 37316.999000  	    30	0	0  
 38317.501000  	    9a	a	2  
 38318.082000  	    10	0	0  
 38368.665000  	    ba	9	2  
 38369.196000  	    30	0	0  
 39369.684000  	    4f	a	2  
 39370.164000  	    4a	a	2  
 39370.604000  	    0	0	0  
 42371.144000  	    ba	9	2  
 42371.764000  	    30	0	0  
 43372.269000  	    99	a	2  
 43372.750000  	    10	0	0  
 45373.205000  	    9a	6	2  
 45373.700000  	    0	0	0  
 45574.175000  	    ba	9	2  
 45574.689000  	    30	0	0  
 46575.156000  	    9a	a	2  
 46575.701000  	    10	0	0  
 46626.179000  	    ba	9	2  
 46626.758000  	    30	0	0  
 47627.275000  	    4f	a	2  
 47627.890000  	    4a	a	2  
 47628.420000  	    0	0	0  
 50628.925000  	    ba	9	2  
 50629.481000  	    30	0	0  
 51629.924000  	    99	a	2  
 51630.406000  	    10	0	0  
 53630.811000  	    9a	6	2  
 53631.492000  	    0	0	0  
 53832.229000  	    ba	9	2  
 53832.730000  	    30	0	0  
 54833.094000  	    9a	a	2  
 54833.531000  	    10	0	0  
 54883.982000  	    ba	9	2  
 54884.586000  	    30	0	0  
 55885.143000  	    4f	a	2  
 55885.606000  	    4a	a	2  
 55886.074000  	    0	0	0  
 58886.548000  	    ba	9	2  
 58887.069000  	    30	0	0  
 59887.469000  	    99	a	2  
 59887.973000  	    10	0	0  
 61888.360000  	    9a	6	2  
 61888.826000  	    0	0	0  
 62089.221000  	    ba	9	2  
 62089.730000  	    30	0	0  
 63090.203000  	    9a	a	2  
 63090.765000  	    10	0	0  
 63141.232000  	    ba	9	2  
 63141.748000  	    30	0	0  
 64142.210000  	    4f	a	2  
 64142.689000  	    4a	a	2  
 64143.181000  	    0	0	0  
 67143.545000  	    ba	9	2  
 67143.993000  	    30	0	0  
 68144.363000  	    99	a	2  
 68144.873000  	    10	0	0  
 70145.290000  	    9a	6	2  
 70145.797000  	    0	0	0  
 70346.217000  	    ba	9	2  
 70346.751000  	    30	0	0  
 71347.234000  	    9a	a	2  
 71347.818000  	    10	0	0  
 71398.357000  	    ba	9	2  
 71398.907000  	    30	0	0  
 72399.403000  	    4f	a	2  
 72399.941000  	    4a	a	2  
 72400.506000  	    0	0	0  
 75401.028000  	    ba	9	2  
 75401.586000  	    30	0	0  
 76402.071000  	    99	a	2  
 76402.653000  	    10	0	0  
 78403.103000  	    9a	6	2  
 78403.559000  	    0	0	0  
 78604.020000  	    ba	9	2  
 78604.549000  	    30	0	0  
 79605.007000  	    9a	a	2  
 79605.527000  	    10	0	0  
 79656.018000  	    ba	9	2  
 79656.543000  	    30	0	0  
 80656.986000  	    4f	a	2  
 80657.491000  	    4a	a	2  
 80657.952000  	    0	0	0  
 83658.381000  	    ba	9	2  
 83658.911000  	    30	0	0  
 84659.391000  	    99	a	2  
 84659.898000  	    10	0	0  
 86660.321000  	    9a	6	2  
 86660.864000  	    0	0	0  
 86861.341000  	    ba	9	2  
 86861.847000  	    30	0	0  
 87862.270000  	    9a	a	2  
 87862.854000  	    10	0	0  
 87913.373000  	    ba	9	2  
 87913.893000  	    30	0	0  
 88914.392000  	    4f	a	2  
 88914.957000  	    4a	a	2  
 88915.465000  	    0	0	0  
 91915.928000  	    ba	9	2  
 91916.404000  	    30	0	0  
 92916.876000  	    99	a	2  
 92917.440000  	    10	0	0  
 94917.928000  	    9a	6	2  
 94918.538000  	    0	0	0  
 95119.052000  	    ba	9	2  
 95119.588000  	    30	0	0  
 96120.023000  	    9a	a	2  
 96120.471000  	    10	0	0  
 96170.954000  	    ba	9	2  
 96171.529000  	    30	0	0  
 97171.991000  	    4f	a	2  
 97172.506000  	    4a	a	2  
