---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.010000  	    ba	4	2  
 0.352000  	    10	0	0  
 5510.920000  	    8a	7	2  
 5511.470000  	    8a	6	2  
 5511.958000  	    0	0	0  
 8512.406000  	    7a	4	2  
 8512.956000  	    50	0	0  
 9513.642000  	    ba	8	2  
 9514.169000  	    10	0	0  
 11514.603000  	    b9	4	2  
 11515.171000  	    0	0	0  
 11715.644000  	    7a	4	2  
 11716.174000  	    50	0	0  
 12716.593000  	    ba	4	2  
 12717.095000  	    10	0	0  
 12767.597000  	    7a	4	2  
 12768.139000  	    50	0	0  
 13768.583000  	    8a	7	2  
 13769.065000  	    8a	6	2  
 13769.528000  	    0	0	0  
 16769.952000  	    7a	4	2  
 16770.513000  	    50	0	0  
 17770.980000  	    ba	8	2  
 17771.497000  	    10	0	0  
 19771.986000  	    b9	4	2  
 19772.520000  	    0	0	0  
 19973.017000  	    7a	4	2  
 19973.555000  	    50	0	0  
 20974.038000  	    ba	4	2  
 20974.549000  	    10	0	0  
 21025.063000  	    7a	4	2  
 21025.617000  	    50	0	0  
 22026.132000  	    8a	7	2  
 22026.691000  	    8a	6	2  
 22027.224000  	    0	0	0  
 25027.740000  	    7a	4	2  
 25028.223000  	    50	0	0  
 26028.681000  	    ba	8	2  
 26029.236000  	    10	0	0  
 28029.709000  	    b9	4	2  
 28030.195000  	    0	0	0  
 28230.633000  	    7a	4	2  
 28231.176000  	    50	0	0  
 29231.628000  	    ba	4	2  
 29232.166000  	    10	0	0  
 29282.705000  	    7a	4	2  
 29283.190000  	    50	0	0  
 30283.710000  	    8a	7	2  
 30284.233000  	    8a	6	2  
 30284.719000  	    0	0	0  
 33285.202000  	    7a	4	2  
 33285.760000  	    50	0	0  
 34286.229000  	    ba	8	2  
 34286.797000  	    10	0	0  
 36287.296000  	    b9	4	2  
 36287.845000  	    0	0	0  
 36488.309000  	    7a	4	2  
 36488.834000  	    50	0	0  
 37489.254000  	    ba	4	2  
 37489.785000  	    10	0	0  
 37540.287000  	    7a	4	2  
 37540.818000  	    50	0	0  
 38541.296000  	    8a	7	2  
 38541.826000  	    8a	6	2  
 38542.349000  	    0	0	0  
 41542.843000  	    7a	4	2  
 41543.380000  	    50	0	0  
 42543.831000  	    ba	8	2  
 42544.433000  	    10	0	0  
 44544.956000  	    b9	4	2  
 44545.539000  	    0	0	0  
 44745.975000  	    7a	4	2  
 44746.430000  	    50	0	0  
 45746.856000  	    ba	4	2  
 45747.471000  	    10	0	0  
 45798.001000  	    7a	4	2  
 45798.524000  	    50	0	0  
 46799.015000  	    8a	7	2  
 46799.584000  	    8a	6	2  
 46800.068000  	    0	0	0  
 49800.566000  	    7a	4	2  
 49801.105000  	    50	0	0  
 50801.592000  	    ba	8	2  
 50802.105000  	    10	0	0  
 52802.585000  	    b9	4	2  
 52803.045000  	    0	0	0  
 53003.527000  	    7a	4	2  
 53004.090000  	    50	0	0  
 54004.596000  	    ba	4	2  
 54005.157000  	    10	0	0  
 54055.728000  	    7a	4	2  
 54056.260000  	    50	0	0  
 55056.787000  	    8a	7	2  
 55057.363000  	    8a	6	2  
 55057.887000  	    0	0	0  
 58058.351000  	    7a	4	2  
 58058.881000  	    50	0	0  
 59059.402000  	    ba	8	2  
 59059.965000  	    10	0	0  
 61060.494000  	    b9	4	2  
 61061.059000  	    0	0	0  
 61261.576000  	    7a	4	2  
 61262.117000  	    50	0	0  
 62262.563000  	    ba	4	2  
 62263.076000  	    10	0	0  
 62313.583000  	    7a	4	2  
 62314.115000  	    50	0	0  
 63314.585000  	    8a	7	2  
 63315.104000  	    8a	6	2  
 63315.617000  	    0	0	0  
 66316.123000  	    7a	4	2  
 66316.692000  	    50	0	0  
 67317.192000  	    ba	8	2  
 67317.720000  	    10	0	0  
 69318.157000  	    b9	4	2  
 69318.673000  	    0	0	0  
 69519.098000  	    7a	4	2  
 69519.563000  	    50	0	0  
 70519.991000  	    ba	4	2  
 70520.509000  	    10	0	0  
 70570.983000  	    7a	4	2  
 70571.474000  	    50	0	0  
 71571.915000  	    8a	7	2  
 71572.417000  	    8a	6	2  
 71572.880000  	    0	0	0  
 74573.355000  	    7a	4	2  
 74573.892000  	    50	0	0  
 75574.361000  	    ba	8	2  
 75574.928000  	    10	0	0  
 77575.415000  	    b9	4	2  
 77575.979000  	    0	0	0  
 77776.392000  	    7a	4	2  
 77776.857000  	    50	0	0  
 78777.358000  	    ba	4	2  
 78777.912000  	    10	0	0  
 78828.449000  	    7a	4	2  
 78828.983000  	    50	0	0  
 79829.459000  	    8a	7	2  
 79829.997000  	    8a	6	2  
 79830.482000  	    0	0	0  
 82830.946000  	    7a	4	2  
 82831.485000  	    50	0	0  
 83831.901000  	    ba	8	2  
 83832.375000  	    10	0	0  
 85832.844000  	    b9	4	2  
 85833.387000  	    0	0	0  
 86033.831000  	    7a	4	2  
 86034.324000  	    50	0	0  
 87034.753000  	    ba	4	2  
 87035.269000  	    10	0	0  
 87085.774000  	    7a	4	2  
 87086.322000  	    50	0	0  
 88086.821000  	    8a	7	2  
 88087.348000  	    8a	6	2  
 88087.825000  	    0	0	0  
 89780.008000  	    ba	4	2  
 89780.405000  	    10	0	0  
