---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.050000  	    ba	0	2  
 1.249000  	    10	0	0  
 1177521.239000  	    8a	3	2  
 1177522.514000  	    8a	2	2  
 1177523.769000  	    0	0	0  
 1183525.043000  	    7a	8	2  
 1183526.292000  	    50	0	0  
 1184528.017000  	    b9	0	2  
 1184529.149000  	    10	0	0  
 1193530.350000  	    7a	8	2  
 1193531.552000  	    50	0	0  
 1194533.849000  	    ba	0	2  
 1194535.029000  	    10	0	0  
 1194736.329000  	    7a	8	2  
 1194737.585000  	    50	0	0  
 1195740.171000  	    8a	3	2  
 1195741.412000  	    8a	2	2  
 1195742.640000  	    0	0	0  
 1201606.073000  	    ba	0	2  
 1201607.379000  	    10	0	0  
 3404785.560000  	    8a	3	2  
 3404786.833000  	    8a	2	2  
 3404788.077000  	    0	0	0  
 3410789.409000  	    7a	8	2  
 3410790.668000  	    50	0	0  
 3411793.184000  	    b9	0	2  
 3411794.367000  	    10	0	0  
 3420795.663000  	    7a	8	2  
 3420796.920000  	    50	0	0  
 3421799.218000  	    ba	0	2  
 3421800.468000  	    10	0	0  
 3422001.810000  	    7a	8	2  
 3422003.102000  	    50	0	0  
 3423005.579000  	    8a	3	2  
 3423006.834000  	    8a	2	2  
 3423008.075000  	    0	0	0  
 3429009.359000  	    7a	8	2  
 3429010.596000  	    50	0	0  
 3430012.801000  	    b9	0	2  
 3430014.052000  	    10	0	0  
 3439015.445000  	    7a	8	2  
 3439016.702000  	    50	0	0  
 3440019.064000  	    ba	0	2  
 3440020.298000  	    10	0	0  
 3440221.633000  	    7a	8	2  
 3440222.815000  	    50	0	0  
 3441225.114000  	    8a	3	2  
 3441226.353000  	    8a	2	2  
 3441227.570000  	    0	0	0  
 3447228.837000  	    7a	8	2  
 3447230.084000  	    50	0	0  
 3448232.310000  	    b9	0	2  
 3448233.503000  	    10	0	0  
 3457234.796000  	    7a	8	2  
 3457236.098000  	    50	0	0  
 3458238.723000  	    ba	0	2  
 3458239.989000  	    10	0	0  
 3458441.342000  	    7a	8	2  
 3458442.626000  	    50	0	0  
 3459444.852000  	    8a	3	2  
 3459446.132000  	    8a	2	2  
 3459447.404000  	    0	0	0  
 3465448.757000  	    7a	8	2  
 3465449.962000  	    50	0	0  
 3466452.271000  	    b9	0	2  
 3466453.571000  	    10	0	0  
 3475454.994000  	    7a	8	2  
 3475456.238000  	    50	0	0  
 3476458.919000  	    ba	0	2  
 3476460.163000  	    10	0	0  
 3476661.525000  	    7a	8	2  
 3476662.821000  	    50	0	0  
 3477665.014000  	    8a	3	2  
 3477666.293000  	    8a	2	2  
 3477667.539000  	    0	0	0  
 3483668.899000  	    7a	8	2  
 3483670.170000  	    50	0	0  
 3484672.716000  	    b9	0	2  
 3484673.955000  	    10	0	0  
 3493675.391000  	    7a	8	2  
 3493676.709000  	    50	0	0  
 3494679.073000  	    ba	0	2  
 3494680.359000  	    10	0	0  
 3494881.737000  	    7a	8	2  
 3494883.004000  	    50	0	0  
 3495884.632000  	    8a	3	2  
 3495885.779000  	    8a	2	2  
 3495887.000000  	    0	0	0  
 3501888.270000  	    7a	8	2  
 3501889.513000  	    50	0	0  
 3502891.631000  	    b9	0	2  
 3502892.818000  	    10	0	0  
 3511894.095000  	    7a	8	2  
 3511895.359000  	    50	0	0  
 3512897.828000  	    ba	0	2  
 3512899.016000  	    10	0	0  
 3513100.391000  	    7a	8	2  
 3513101.751000  	    50	0	0  
 3514104.075000  	    8a	3	2  
 3514105.359000  	    8a	2	2  
 3514106.633000  	    0	0	0  
 3520107.981000  	    7a	8	2  
 3520109.282000  	    50	0	0  
 3521111.526000  	    b9	0	2  
 3521112.705000  	    10	0	0  
 3530113.919000  	    7a	8	2  
 3530115.230000  	    50	0	0  
 3531117.672000  	    ba	0	2  
 3531118.902000  	    10	0	0  
 3531320.273000  	    7a	8	2  
 3531321.553000  	    50	0	0  
 3532323.982000  	    8a	3	2  
 3532325.282000  	    8a	2	2  
 3532326.542000  	    0	0	0  
 3538327.835000  	    7a	8	2  
 3538329.101000  	    50	0	0  
 3539331.380000  	    b9	0	2  
 3539332.651000  	    10	0	0  
 3548333.993000  	    7a	8	2  
 3548335.225000  	    50	0	0  
 3549337.542000  	    ba	0	2  
 3549338.825000  	    10	0	0  
 3549540.206000  	    7a	8	2  
 3549541.485000  	    50	0	0  
 3550543.900000  	    8a	3	2  
 3550545.139000  	    8a	2	2  
 3550546.390000  	    0	0	0  
 3556547.710000  	    7a	8	2  
 3556549.049000  	    50	0	0  
 3557551.399000  	    b9	0	2  
 3557552.672000  	    10	0	0  
 3566553.985000  	    7a	8	2  
 3566555.266000  	    50	0	0  
 3567557.700000  	    ba	0	2  
 3567558.973000  	    10	0	0  
 3567760.349000  	    7a	8	2  
 3567761.677000  	    50	0	0  
 3568763.984000  	    b6	1	2  
 3568765.264000  	    86	2	2  
 3568766.506000  	    0	0	0  
 3574767.795000  	    76	8	2  
 3574769.070000  	    50	0	0  
 3575771.359000  	    b5	0	2  
 3575772.548000  	    10	0	0  
 3584773.807000  	    76	8	2  
 3584775.099000  	    50	0	0  
 3585777.560000  	    b6	0	2  
 3585778.740000  	    10	0	0  
 3585980.111000  	    76	8	2  
 3585981.389000  	    50	0	0  
 3586983.691000  	    8a	3	2  
 3586984.879000  	    8a	2	2  
 3586986.069000  	    0	0	0  
 3592987.341000  	    7a	8	2  
 3592988.701000  	    50	0	0  
 3593991.141000  	    b9	0	2  
 3593992.456000  	    10	0	0  
 3602993.822000  	    7a	8	2  
 3602995.055000  	    50	0	0  
 3603997.448000  	    ba	0	2  
 3603998.675000  	    10	0	0  
 3604200.154000  	    7a	8	2  
 3604201.480000  	    50	0	0  
 3605204.017000  	    8a	3	2  
 3605205.222000  	    8a	2	2  
 3605206.444000  	    0	0	0  
 3611207.727000  	    7a	8	2  
 3611208.960000  	    50	0	0  
 3612211.296000  	    b9	0	2  
 3612212.605000  	    10	0	0  
 3621213.916000  	    7a	8	2  
 3621215.144000  	    50	0	0  
 3622217.395000  	    ba	0	2  
 3622218.616000  	    10	0	0  
 3622419.974000  	    7a	8	2  
 3622421.198000  	    50	0	0  
 3623423.522000  	    8a	3	2  
 3623424.734000  	    8a	2	2  
 3623425.944000  	    0	0	0  
 3629427.248000  	    7a	8	2  
 3629428.534000  	    50	0	0  
 3630430.909000  	    b9	0	2  
 3630432.228000  	    10	0	0  
 3639433.566000  	    7a	8	2  
 3639434.864000  	    50	0	0  
 3640437.301000  	    ba	0	2  
 3640438.533000  	    10	0	0  
 3640639.957000  	    7a	8	2  
 3640641.234000  	    50	0	0  
 3641643.815000  	    8a	3	2  
 3641645.136000  	    8a	2	2  
 3641646.506000  	    0	0	0  
 3647647.985000  	    7a	8	2  
 3647649.282000  	    50	0	0  
 3648651.867000  	    b9	0	2  
 3648653.065000  	    10	0	0  
 3657654.332000  	    7a	8	2  
 3657655.575000  	    50	0	0  
 3658657.885000  	    ba	0	2  
 3658659.201000  	    10	0	0  
 3658860.564000  	    7a	8	2  
 3658861.813000  	    50	0	0  
 3659864.001000  	    8a	3	2  
 3659865.239000  	    8a	2	2  
 3659866.436000  	    0	0	0  
 3665867.645000  	    7a	8	2  
 3665868.820000  	    50	0	0  
 3666871.215000  	    b9	0	2  
 3666872.455000  	    10	0	0  
 3675873.732000  	    7a	8	2  
 3675874.972000  	    50	0	0  
 3676877.206000  	    ba	0	2  
 3676878.488000  	    10	0	0  
 3677079.874000  	    7a	8	2  
 3677081.160000  	    50	0	0  
 3678083.457000  	    8a	3	2  
 3678084.640000  	    8a	2	2  
 3678085.787000  	    0	0	0  
 3684087.034000  	    7a	8	2  
 3684088.350000  	    50	0	0  
 3685090.900000  	    b9	0	2  
 3685092.151000  	    10	0	0  
 3694093.524000  	    7a	8	2  
 3694094.809000  	    50	0	0  
 3695097.169000  	    ba	0	2  
 3695098.360000  	    10	0	0  
 3695299.718000  	    7a	8	2  
 3695301.009000  	    50	0	0  
 3696303.584000  	    8a	3	2  
 3696304.810000  	    8a	2	2  
 3696306.031000  	    0	0	0  
 3702307.377000  	    7a	8	2  
 3702308.641000  	    50	0	0  
 3703310.492000  	    b9	0	2  
 3703311.660000  	    10	0	0  
 3712312.938000  	    7a	8	2  
 3712314.214000  	    50	0	0  
 3713316.554000  	    ba	0	2  
 3713317.839000  	    10	0	0  
 3713519.181000  	    7a	8	2  
 3713520.394000  	    50	0	0  
 3714522.564000  	    8a	3	2  
 3714523.858000  	    8a	2	2  
 3714525.145000  	    0	0	0  
 3720526.472000  	    7a	8	2  
 3720527.712000  	    50	0	0  
 3721529.928000  	    b9	0	2  
 3721531.234000  	    10	0	0  
 3730532.614000  	    7a	8	2  
 3730533.910000  	    50	0	0  
 3731536.384000  	    ba	0	2  
 3731537.579000  	    10	0	0  
 3731738.948000  	    7a	8	2  
 3731740.251000  	    50	0	0  
 3732742.816000  	    8a	3	2  
 3732744.009000  	    8a	2	2  
 3732745.258000  	    0	0	0  
 3738746.604000  	    7a	8	2  
 3738747.892000  	    50	0	0  
