---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.023000  	    ba	0	2  
 1.305000  	    10	0	0  
 241165.075000  	    7a	8	2  
 241166.314000  	    50	0	0  
 242165.096000  	    10	0	0  
 261402.508000  	    7a	8	2  
 261403.728000  	    50	0	0  
 262402.464000  	    10	0	0  
 264698.310000  	    ba	0	2  
 264699.556000  	    10	0	0  
 271153.144000  	    8a	3	2  
 271154.495000  	    8a	2	2  
 271155.814000  	    0	0	0  
 274157.225000  	    7a	8	2  
 274158.460000  	    50	0	0  
 275159.729000  	    ba	0	2  
 275160.924000  	    10	0	0  
 278472.275000  	    ba	0	2  
 278473.517000  	    10	0	0  
 305988.709000  	    8a	2	2  
 305989.912000  	    0	0	0  
 313715.629000  	    ba	0	2  
 313716.890000  	    10	0	0  
 320682.925000  	    8a	3	2  
 320684.158000  	    8a	2	2  
 320685.324000  	    0	0	0  
 322402.442000  	    ba	0	2  
 322403.747000  	    10	0	0  
 333584.672000  	    ba	0	2  
 333585.907000  	    10	0	0  
 336336.458000  	    ba	0	2  
 336337.726000  	    10	0	0  
 362660.907000  	    8a	3	2  
 362662.269000  	    8a	2	2  
 362663.537000  	    0	0	0  
 365664.834000  	    7a	8	2  
 365666.101000  	    50	0	0  
 366667.938000  	    ba	0	2  
 366669.083000  	    10	0	0  
 369276.169000  	    ba	0	2  
 369277.391000  	    10	0	0  
