---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.008000  	    ba	0	2  
 1.194000  	    10	0	0  
 19117420.361000  	    ba	0	2  
 19117421.577000  	    10	0	0  
 19153224.567000  	    8a	2	2  
 19153225.775000  	    0	0	0  
 19155063.976000  	    ba	0	2  
 19155065.220000  	    10	0	0  
 19161463.088000  	    8a	2	2  
 19161464.287000  	    0	0	0  
 19164998.977000  	    ba	0	2  
 19165000.246000  	    10	0	0  
 19180436.928000  	    8a	2	2  
 19180438.178000  	    0	0	0  
 19187012.047000  	    ba	0	2  
 19187013.255000  	    10	0	0  
 19191891.653000  	    8a	2	2  
 19191892.865000  	    0	0	0  
 19193362.796000  	    ba	0	2  
 19193364.024000  	    10	0	0  
 23940808.377000  	    8a	3	2  
 23940809.682000  	    8a	2	2  
 23940810.969000  	    0	0	0  
 23943812.329000  	    7a	8	2  
 23943813.605000  	    50	0	0  
 23944816.038000  	    b9	0	2  
 23944817.316000  	    10	0	0  
 23950818.687000  	    7a	8	2  
 23950819.970000  	    50	0	0  
 23951822.341000  	    ba	0	2  
 23951823.520000  	    10	0	0  
 23951874.840000  	    7a	8	2  
 23951876.117000  	    50	0	0  
 23952878.543000  	    8a	3	2  
 23952879.846000  	    8a	2	2  
 23952881.136000  	    0	0	0  
 23955882.457000  	    7a	8	2  
 23955883.786000  	    50	0	0  
 23956886.052000  	    b9	0	2  
 23956887.281000  	    10	0	0  
 23962888.618000  	    7a	8	2  
 23962889.826000  	    50	0	0  
 23963892.247000  	    ba	0	2  
 23963893.502000  	    10	0	0  
 23963944.871000  	    7a	8	2  
 23963946.175000  	    50	0	0  
 23964948.553000  	    8a	3	2  
 23964949.866000  	    8a	2	2  
 23964951.241000  	    0	0	0  
 23967952.662000  	    7a	8	2  
 23967953.872000  	    50	0	0  
 23968956.332000  	    b9	0	2  
 23968957.734000  	    10	0	0  
 23974959.143000  	    7a	8	2  
 23974960.381000  	    50	0	0  
 23975963.316000  	    ba	0	2  
 23975964.532000  	    10	0	0  
 23976016.013000  	    7a	8	2  
 23976017.343000  	    50	0	0  
 23977019.535000  	    8a	3	2  
 23977020.711000  	    8a	2	2  
 23977021.857000  	    0	0	0  
 23980023.133000  	    7a	8	2  
 23980024.384000  	    50	0	0  
 23980396.284000  	    ba	0	2  
 23980397.543000  	    10	0	0  
 23993993.190000  	    7a	8	2  
 23993994.427000  	    50	0	0  
 23994993.204000  	    10	0	0  
 23997072.590000  	    8a	3	2  
 23997073.751000  	    8a	2	2  
 23997074.904000  	    0	0	0  
 24000076.114000  	    7a	8	2  
 24000077.352000  	    50	0	0  
 24001079.730000  	    b9	0	2  
 24001080.951000  	    10	0	0  
 24007082.339000  	    7a	8	2  
 24007083.589000  	    50	0	0  
 24008086.063000  	    ba	0	2  
 24008087.326000  	    10	0	0  
 24008138.677000  	    7a	8	2  
 24008139.907000  	    50	0	0  
 24009142.188000  	    8a	3	2  
 24009143.494000  	    8a	2	2  
 24009144.771000  	    0	0	0  
 24012146.118000  	    7a	8	2  
 24012147.336000  	    50	0	0  
 24013149.771000  	    b9	0	2  
 24013151.102000  	    10	0	0  
 24019152.427000  	    7a	8	2  
 24019153.649000  	    50	0	0  
 24020156.166000  	    ba	0	2  
 24020157.369000  	    10	0	0  
 24020208.742000  	    7a	8	2  
 24020210.074000  	    50	0	0  
 24021212.455000  	    8a	3	2  
 24021213.805000  	    8a	2	2  
 24021215.069000  	    0	0	0  
 24024216.397000  	    7a	8	2  
 24024217.701000  	    50	0	0  
 24025220.261000  	    b9	0	2  
 24025221.608000  	    10	0	0  
 24031223.056000  	    7a	8	2  
 24031224.292000  	    50	0	0  
 24032226.736000  	    ba	0	2  
 24032227.968000  	    10	0	0  
 24032279.362000  	    7a	8	2  
 24032280.773000  	    50	0	0  
 24033283.245000  	    8a	3	2  
 24033284.507000  	    8a	2	2  
 24033285.771000  	    0	0	0  
 24036287.135000  	    7a	8	2  
 24036288.497000  	    50	0	0  
 24037290.812000  	    b9	0	2  
 24037292.106000  	    10	0	0  
 24043293.496000  	    7a	8	2  
 24043294.718000  	    50	0	0  
 24044297.152000  	    ba	0	2  
 24044298.420000  	    10	0	0  
 24044349.771000  	    7a	8	2  
 24044351.142000  	    50	0	0  
 24045353.637000  	    8a	3	2  
 24045354.862000  	    8a	2	2  
 24045356.226000  	    0	0	0  
 24048357.638000  	    7a	8	2  
 24048359.014000  	    50	0	0  
 24049361.583000  	    b9	0	2  
 24049362.920000  	    10	0	0  
 24055364.273000  	    7a	8	2  
 24055365.571000  	    50	0	0  
 24056367.944000  	    ba	0	2  
 24056369.234000  	    10	0	0  
 24056420.633000  	    7a	8	2  
 24056421.932000  	    50	0	0  
 24057424.382000  	    8a	3	2  
 24057425.587000  	    8a	2	2  
 24057426.948000  	    0	0	0  
 24060428.382000  	    7a	8	2  
 24060429.683000  	    50	0	0  
 24061432.050000  	    b9	0	2  
 24061433.315000  	    10	0	0  
 24067434.645000  	    7a	8	2  
 24067435.916000  	    50	0	0  
 24068438.214000  	    ba	0	2  
 24068439.382000  	    10	0	0  
 24068490.697000  	    7a	8	2  
 24068491.976000  	    50	0	0  
 24069494.367000  	    8a	3	2  
 24069495.664000  	    8a	2	2  
 24069497.030000  	    0	0	0  
 24072498.438000  	    7a	8	2  
 24072499.688000  	    50	0	0  
 24073501.970000  	    b9	0	2  
 24073503.212000  	    10	0	0  
 24079504.577000  	    7a	8	2  
 24079505.803000  	    50	0	0  
 24080508.390000  	    ba	0	2  
 24080509.619000  	    10	0	0  
 24080561.020000  	    7a	8	2  
 24080562.326000  	    50	0	0  
 24081564.785000  	    8a	3	2  
 24081566.085000  	    8a	2	2  
 24081567.321000  	    0	0	0  
 24084568.661000  	    7a	8	2  
 24084569.930000  	    50	0	0  
 24085572.356000  	    b9	0	2  
 24085573.657000  	    10	0	0  
 24091575.073000  	    7a	8	2  
 24091576.384000  	    50	0	0  
 24092578.837000  	    ba	0	2  
 24092580.058000  	    10	0	0  
